f,mag,pha
1.45545908058195e+003,-2.18797125885407e+001,9.88243079069630e+001
1.45881426027534e+003,-2.18590100097478e+001,9.88496825571417e+001
1.46217717445671e+003,-2.18383041800326e+001,9.88751002206853e+001
1.46554784095590e+003,-2.18175950853874e+001,9.89005610060604e+001
1.46892627764385e+003,-2.17968827117440e+001,9.89260650217903e+001
1.47231250243271e+003,-2.17761670449729e+001,9.89516123764551e+001
1.47570653327588e+003,-2.17554480708841e+001,9.89772031786904e+001
1.47910838816819e+003,-2.17347257752256e+001,9.90028375371874e+001
1.48251808514594e+003,-2.17140001436842e+001,9.90285155606922e+001
1.48593564228699e+003,-2.16932711618847e+001,9.90542373580050e+001
1.48936107771090e+003,-2.16725388153900e+001,9.90800030379801e+001
1.49279440957898e+003,-2.16518030897006e+001,9.91058127095247e+001
1.49623565609442e+003,-2.16310639702546e+001,9.91316664815990e+001
1.49968483550236e+003,-2.16103214424273e+001,9.91575644632150e+001
1.50314196609001e+003,-2.15895754915311e+001,9.91835067634366e+001
1.50660706618673e+003,-2.15688261028151e+001,9.92094934913784e+001
1.51008015416413e+003,-2.15480732614652e+001,9.92355247562055e+001
1.51356124843619e+003,-2.15273169526034e+001,9.92616006671330e+001
1.51705036745932e+003,-2.15065571612879e+001,9.92877213334249e+001
1.52054752973248e+003,-2.14857938725128e+001,9.93138868643941e+001
1.52405275379728e+003,-2.14650270712080e+001,9.93400973694015e+001
1.52756605823806e+003,-2.14442567422385e+001,9.93663529578553e+001
1.53108746168201e+003,-2.14234828704048e+001,9.93926537392106e+001
1.53461698279928e+003,-2.14027054404420e+001,9.94189998229687e+001
1.53815464030302e+003,-2.13819244370202e+001,9.94453913186763e+001
1.54170045294954e+003,-2.13611398447438e+001,9.94718283359253e+001
1.54525443953840e+003,-2.13403516481516e+001,9.94983109843514e+001
1.54881661891247e+003,-2.13195598317163e+001,9.95248393736345e+001
1.55238700995807e+003,-2.12987643798441e+001,9.95514136134971e+001
1.55596563160506e+003,-2.12779652768753e+001,9.95780338137040e+001
1.55955250282694e+003,-2.12571625070828e+001,9.96047000840617e+001
1.56314764264094e+003,-2.12363560546731e+001,9.96314125344178e+001
1.56675107010813e+003,-2.12155459037851e+001,9.96581712746599e+001
1.57036280433354e+003,-2.11947320384904e+001,9.96849764147153e+001
1.57398286446620e+003,-2.11739144427931e+001,9.97118280645503e+001
1.57761126969933e+003,-2.11530931006289e+001,9.97387263341690e+001
1.58124803927037e+003,-2.11322679958657e+001,9.97656713336134e+001
1.58489319246110e+003,-2.11114391123029e+001,9.97926631729620e+001
1.58854674859776e+003,-2.10906064336711e+001,9.98197019623293e+001
1.59220872705115e+003,-2.10697699436322e+001,9.98467878118652e+001
1.59587914723672e+003,-2.10489296257786e+001,9.98739208317540e+001
1.59955802861465e+003,-2.10280854636336e+001,9.99011011322138e+001
1.60324539069002e+003,-2.10072374406506e+001,9.99283288234959e+001
1.60694125301286e+003,-2.09863855402134e+001,9.99556040158836e+001
1.61064563517825e+003,-2.09655297456353e+001,9.99829268196919e+001
1.61435855682647e+003,-2.09446700401595e+001,1.00010297345266e+002
1.61808003764305e+003,-2.09238064069581e+001,1.00037715702983e+002
1.62181009735891e+003,-2.09029388291328e+001,1.00065182003246e+002
1.62554875575047e+003,-2.08820672897138e+001,1.00092696356489e+002
1.62929603263970e+003,-2.08611917716600e+001,1.00120258873171e+002
1.63305194789432e+003,-2.08403122578586e+001,1.00147869663782e+002
1.63681652142779e+003,-2.08194287311249e+001,1.00175528838833e+002
1.64058977319952e+003,-2.07985411742021e+001,1.00203236508863e+002
1.64437172321491e+003,-2.07776495697607e+001,1.00230992784434e+002
1.64816239152549e+003,-2.07567539003987e+001,1.00258797776133e+002
1.65196179822900e+003,-2.07358541486413e+001,1.00286651594567e+002
1.65576996346951e+003,-2.07149502969401e+001,1.00314554350367e+002
1.65958690743754e+003,-2.06940423276737e+001,1.00342506154183e+002
1.66341265037015e+003,-2.06731302231467e+001,1.00370507116687e+002
1.66724721255104e+003,-2.06522139655896e+001,1.00398557348567e+002
1.67109061431069e+003,-2.06312935371591e+001,1.00426656960532e+002
1.67494287602642e+003,-2.06103689199369e+001,1.00454806063307e+002
1.67880401812254e+003,-2.05894400959304e+001,1.00483004767632e+002
1.68267406107045e+003,-2.05685070470716e+001,1.00511253184266e+002
1.68655302538872e+003,-2.05475697552174e+001,1.00539551423979e+002
1.69044093164324e+003,-2.05266282021492e+001,1.00567899597556e+002
1.69433780044731e+003,-2.05056823695726e+001,1.00596297815794e+002
1.69824365246172e+003,-2.04847322391169e+001,1.00624746189502e+002
1.70215850839493e+003,-2.04637777923352e+001,1.00653244829500e+002
1.70608238900310e+003,-2.04428190107042e+001,1.00681793846618e+002
1.71001531509027e+003,-2.04218558756235e+001,1.00710393351693e+002
1.71395730750840e+003,-2.04008883684155e+001,1.00739043455571e+002
1.71790838715757e+003,-2.03799164703255e+001,1.00767744269105e+002
1.72186857498598e+003,-2.03589401625209e+001,1.00796495903153e+002
1.72583789199018e+003,-2.03379594260912e+001,1.00825298468579e+002
1.72981635921508e+003,-2.03169742420477e+001,1.00854152076249e+002
1.73380399775412e+003,-2.02959845913233e+001,1.00883056837032e+002
1.73780082874935e+003,-2.02749904547721e+001,1.00912012861800e+002
1.74180687339159e+003,-2.02539918131692e+001,1.00941020261424e+002
1.74582215292048e+003,-2.02329886472105e+001,1.00970079146777e+002
1.74984668862463e+003,-2.02119809375121e+001,1.00999189628726e+002
1.75388050184174e+003,-2.01909686646106e+001,1.01028351818141e+002
1.75792361395867e+003,-2.01699518089622e+001,1.01057565825884e+002
1.76197604641161e+003,-2.01489303509430e+001,1.01086831762814e+002
1.76603782068614e+003,-2.01279042708483e+001,1.01116149739785e+002
1.77010895831740e+003,-2.01068735488925e+001,1.01145519867641e+002
1.77418948089014e+003,-2.00858381652088e+001,1.01174942257222e+002
1.77827941003890e+003,-2.00647980998489e+001,1.01204417019355e+002
1.78237876744807e+003,-2.00437533327829e+001,1.01233944264859e+002
1.78648757485203e+003,-2.00227038438987e+001,1.01263524104541e+002
1.79060585403527e+003,-2.00016496130020e+001,1.01293156649195e+002
1.79473362683250e+003,-1.99805906198160e+001,1.01322842009602e+002
1.79887091512876e+003,-1.99595268439808e+001,1.01352580296527e+002
1.80301774085954e+003,-1.99384582650537e+001,1.01382371620720e+002
1.80717412601090e+003,-1.99173848625082e+001,1.01412216092911e+002
1.81134009261958e+003,-1.98963066157345e+001,1.01442113823815e+002
1.81551566277311e+003,-1.98752235040385e+001,1.01472064924126e+002
1.81970085860996e+003,-1.98541355066422e+001,1.01502069504515e+002
1.82389570231961e+003,-1.98330426026826e+001,1.01532127675634e+002
1.82810021614272e+003,-1.98119447712124e+001,1.01562239548110e+002
1.83231442237119e+003,-1.97908419911987e+001,1.01592405232544e+002
