f,mag,pha
1.40928879842186e+003,8.70881750833786e+001,-5.16008988821073e+001
1.41253754462274e+003,8.70754772030112e+001,-5.16612286746913e+001
1.41579377995707e+003,8.70627583042579e+001,-5.17215113529365e+001
1.41905752168908e+003,8.70500184153225e+001,-5.17817466193001e+001
1.42232878712281e+003,8.70372575645851e+001,-5.18419341771999e+001
1.42560759360218e+003,8.70244757806017e+001,-5.19020737310199e+001
1.42889395851109e+003,8.70116730921031e+001,-5.19621649861149e+001
1.43218789927353e+003,8.69988495279937e+001,-5.20222076488164e+001
1.43548943335364e+003,8.69860051173502e+001,-5.20822014264374e+001
1.43879857825583e+003,8.69731398894214e+001,-5.21421460272773e+001
1.44211535152486e+003,8.69602538736264e+001,-5.22020411606274e+001
1.44543977074592e+003,8.69473470995539e+001,-5.22618865367756e+001
1.44877185354475e+003,8.69344195969610e+001,-5.23216818670113e+001
1.45211161758773e+003,8.69214713957723e+001,-5.23814268636304e+001
1.45545908058195e+003,8.69085025260789e+001,-5.24411212399400e+001
1.45881426027534e+003,8.68955130181371e+001,-5.25007647102635e+001
1.46217717445671e+003,8.68825029023675e+001,-5.25603569899446e+001
1.46554784095590e+003,8.68694722093541e+001,-5.26198977953527e+001
1.46892627764385e+003,8.68564209698429e+001,-5.26793868438870e+001
1.47231250243271e+003,8.68433492147410e+001,-5.27388238539815e+001
1.47570653327588e+003,8.68302569751155e+001,-5.27982085451088e+001
1.47910838816819e+003,8.68171442821925e+001,-5.28575406377851e+001
1.48251808514594e+003,8.68040111673562e+001,-5.29168198535746e+001
1.48593564228699e+003,8.67908576621472e+001,-5.29760459150933e+001
1.48936107771090e+003,8.67776837982621e+001,-5.30352185460138e+001
1.49279440957898e+003,8.67644896075520e+001,-5.30943374710692e+001
1.49623565609442e+003,8.67512751220217e+001,-5.31534024160572e+001
1.49968483550236e+003,8.67380403738281e+001,-5.32124131078444e+001
1.50314196609001e+003,8.67247853952800e+001,-5.32713692743705e+001
1.50660706618673e+003,8.67115102188359e+001,-5.33302706446515e+001
1.51008015416413e+003,8.66982148771039e+001,-5.33891169487846e+001
1.51356124843619e+003,8.66848994028400e+001,-5.34479079179515e+001
1.51705036745932e+003,8.66715638289471e+001,-5.35066432844221e+001
1.52054752973248e+003,8.66582081884740e+001,-5.35653227815587e+001
1.52405275379728e+003,8.66448325146144e+001,-5.36239461438195e+001
1.52756605823806e+003,8.66314368407053e+001,-5.36825131067620e+001
1.53108746168201e+003,8.66180212002267e+001,-5.37410234070469e+001
1.53461698279928e+003,8.66045856267995e+001,-5.37994767824415e+001
1.53815464030302e+003,8.65911301541853e+001,-5.38578729718232e+001
1.54170045294954e+003,8.65776548162847e+001,-5.39162117151829e+001
1.54525443953840e+003,8.65641596471363e+001,-5.39744927536284e+001
1.54881661891247e+003,8.65506446809160e+001,-5.40327158293874e+001
1.55238700995807e+003,8.65371099519349e+001,-5.40908806858113e+001
1.55596563160506e+003,8.65235554946394e+001,-5.41489870673779e+001
1.55955250282694e+003,8.65099813436091e+001,-5.42070347196949e+001
