Freq.,Vv1/IR1
1.57761126969933e+003,9.90231188038891e+001,1.79694582065803e+002
1.58124803927037e+003,9.90231425711316e+001,1.79693862531399e+002
1.58489319246110e+003,9.90231664494566e+001,1.79693141229615e+002
1.58854674859776e+003,9.90231904393895e+001,1.79692418155607e+002
1.59220872705115e+003,9.90232145414586e+001,1.79691693304515e+002
1.59587914723672e+003,9.90232387561945e+001,1.79690966671460e+002
1.59955802861465e+003,9.90232630841304e+001,1.79690238251547e+002
1.60324539069002e+003,9.90232875258023e+001,1.79689508039866e+002
1.60694125301286e+003,9.90233120817484e+001,1.79688776031488e+002
1.61064563517825e+003,9.90233367525100e+001,1.79688042221466e+002
1.61435855682647e+003,9.90233615386306e+001,1.79687306604839e+002
1.61808003764305e+003,9.90233864406566e+001,1.79686569176626e+002
1.62181009735891e+003,9.90234114591369e+001,1.79685829931829e+002
1.62554875575047e+003,9.90234365946232e+001,1.79685088865434e+002
1.62929603263970e+003,9.90234618476697e+001,1.79684345972408e+002
1.63305194789432e+003,9.90234872188335e+001,1.79683601247702e+002
1.63681652142779e+003,9.90235127086742e+001,1.79682854686247e+002
1.64058977319952e+003,9.90235383177543e+001,1.79682106282958e+002
1.64437172321491e+003,9.90235640466390e+001,1.79681356032732e+002
1.64816239152549e+003,9.90235898958961e+001,1.79680603930447e+002
1.65196179822900e+003,9.90236158660963e+001,1.79679849970964e+002
1.65576996346951e+003,9.90236419578130e+001,1.79679094149127e+002
1.65958690743754e+003,9.90236681716225e+001,1.79678336459758e+002
1.66341265037015e+003,9.90236945081038e+001,1.79677576897665e+002
1.66724721255104e+003,9.90237209678387e+001,1.79676815457635e+002
1.67109061431069e+003,9.90237475514120e+001,1.79676052134437e+002
1.67494287602642e+003,9.90237742594111e+001,1.79675286922821e+002
1.67880401812254e+003,9.90238010924264e+001,1.79674519817521e+002
1.68267406107045e+003,9.90238280510512e+001,1.79673750813249e+002
1.68655302538872e+003,9.90238551358817e+001,1.79672979904699e+002
1.69044093164324e+003,9.90238823475168e+001,1.79672207086548e+002
1.69433780044731e+003,9.90239096865587e+001,1.79671432353451e+002
1.69824365246172e+003,9.90239371536122e+001,1.79670655700046e+002
1.70215850839493e+003,9.90239647492851e+001,1.79669877120952e+002
1.70608238900310e+003,9.90239924741882e+001,1.79669096610766e+002
1.71001531509027e+003,9.90240203289355e+001,1.79668314164069e+002
1.71395730750840e+003,9.90240483141437e+001,1.79667529775420e+002
1.71790838715757e+003,9.90240764304326e+001,1.79666743439359e+002
1.72186857498598e+003,9.90241046784250e+001,1.79665955150409e+002
1.72583789199018e+003,9.90241330587469e+001,1.79665164903068e+002
1.72981635921508e+003,9.90241615720271e+001,1.79664372691819e+002
1.73380399775412e+003,9.90241902188977e+001,1.79663578511122e+002
1.73780082874935e+003,9.90242189999938e+001,1.79662782355418e+002
1.74180687339159e+003,9.90242479159535e+001,1.79661984219128e+002
1.74582215292048e+003,9.90242769674183e+001,1.79661184096652e+002
1.74984668862463e+003,9.90243061550326e+001,1.79660381982371e+002
